"id_kit","cod_programa","nom_programa","programa","cod_meta","nom_meta","meta","cod_subfin","nom_subfin","sub_finalidad","cod_producto","cod_actividad","cod_clasificador","nom_clasificador","clasificador","nivel","tipo_bien","tipo_calculo","cod_item_fam","nom_item_fam","item_fam"
1,18,"ENFERMEDADES NO TRANSMISIBLES","0018 ENFERMEDADES NO TRANSMISIBLES",57,"DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRASMISIBLES","57 DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRASMISIBLES",1016,"IMPLEMENTACION DE DOCUMENTOS TECNICOS NORMATIVOS EN SALUD.","0043987 IMPLEMENTACION DE DOCUMENTOS TECNICOS NORMATIVOS EN SALUD.","3000001","5004453","2.3. 2  1. 1  1","PASAJES Y GASTOS DE TRANSPORTE","2.3. 2  1. 1  1 PASAJES Y GASTOS DE TRANSPORTE","I","S",2,"901000070003","COMISION DE SERVICIOS - VIATICOS NACIONALES","901000070003 COMISION DE SERVICIOS - VIATICOS NACIONALES"
2,16,"TBC-VIH/SIDA","0016 TBC-VIH/SIDA",29,"MONITOREO, SUPERVISION, EVALUACION Y CONTROL DE VIH SIDA - TUBERCULOSIS","29 MONITOREO, SUPERVISION, EVALUACION Y CONTROL DE VIH SIDA - TUBERCULOSIS",1327,"EVALUACIÓN DE DIAGNÓSTICO ESPECIALIZADO TB/VIH-SIDA","4395005 EVALUACIÓN DE DIAGNÓSTICO ESPECIALIZADO TB/VIH-SIDA","3000001","5004433","2.3. 2  1. 1  1","PASAJES Y GASTOS DE TRANSPORTE","2.3. 2  1. 1  1 PASAJES Y GASTOS DE TRANSPORTE","I","S",2,"901000040007","TRASLADO DE PERSONAL DE OTROS ORGANISMOS - PASAJE AEREO NACIONAL","901000040007 TRASLADO DE PERSONAL DE OTROS ORGANISMOS - PASAJE AEREO NACIONAL"
3,131,"CONTROL Y PREVENCION EN SALUD MENTAL","0131 CONTROL Y PREVENCION EN SALUD MENTAL",128,"INTERVENCIONES COMUNITARIAS PARA LA RECUPERACION EMOCIONAL DE POBLACIONES VICTIMAS DE VIOLENCIA POLITICA","128 INTERVENCIONES COMUNITARIAS PARA LA RECUPERACION EMOCIONAL DE POBLACIONES VICTIMAS DE VIOLENCIA POLITICA",808,"FORTALECIMIENTO DE REDES DE APOYO PSICOSOCIAL","5005199 FORTALECIMIENTO DE REDES DE APOYO PSICOSOCIAL","3000704","5005199","2.3. 2  8. 1  1","CONTRATO ADMINISTRATIVO DE SERVICIOS","2.3. 2  8. 1  1 CONTRATO ADMINISTRATIVO DE SERVICIOS","I","S",1,"080500050021","CONTRATACION DE PERSONAL TECNICO EN ENFERMERIA","080500050021 CONTRATACION DE PERSONAL TECNICO EN ENFERMERIA"
4,16,"TBC-VIH/SIDA","0016 TBC-VIH/SIDA",29,"MONITOREO, SUPERVISION, EVALUACION Y CONTROL DE VIH SIDA - TUBERCULOSIS","29 MONITOREO, SUPERVISION, EVALUACION Y CONTROL DE VIH SIDA - TUBERCULOSIS",1327,"EVALUACIÓN DE DIAGNÓSTICO ESPECIALIZADO TB/VIH-SIDA","4395005 EVALUACIÓN DE DIAGNÓSTICO ESPECIALIZADO TB/VIH-SIDA","3000001","5004433","2.3. 2  9. 1  1","LOCACION DE SERVICIOS REALIZADOS POR PERSONAS NATURALES RELACIONADAS AL ROL DE LA ENTIDAD","2.3. 2  9. 1  1 LOCACION DE SERVICIOS REALIZADOS POR PERSONAS NATURALES RELACIONADAS AL ROL DE LA ENTIDAD","I","S",2,"070500040150","SERVICIO ESPECIALIZADO EN INFORMATICA","070500040150 SERVICIO ESPECIALIZADO EN INFORMATICA"
5,18,"ENFERMEDADES NO TRANSMISIBLES","0018 ENFERMEDADES NO TRANSMISIBLES",62,"EVALUACION CLINICA Y TAMIZAJE LABORATORIAL DE PERSONAS CON RIESGO DE PADECER ENFERMEDADES CRONICAS NO TRANSMISIBLES","62 EVALUACION CLINICA Y TAMIZAJE LABORATORIAL DE PERSONAS CON RIESGO DE PADECER ENFERMEDADES CRONICAS NO TRANSMISIBLES",376,"PERSONAS DE 5 A 11 AÑOS CON VALORACIÓN CLÍNICA DE FACTORES DE RIESGO","5001504 PERSONAS DE 5 A 11 AÑOS CON VALORACIÓN CLÍNICA DE FACTORES DE RIESGO","3000015","5000113","2.3. 2  9. 1  1","LOCACION DE SERVICIOS REALIZADOS POR PERSONAS NATURALES RELACIONADAS AL ROL DE LA ENTIDAD","2.3. 2  9. 1  1 LOCACION DE SERVICIOS REALIZADOS POR PERSONAS NATURALES RELACIONADAS AL ROL DE LA ENTIDAD","I","S",2,"210100010080","SERVICIO DE APOYO ADMINISTRATIVO","210100010080 SERVICIO DE APOYO ADMINISTRATIVO"
6,17,"ENFERMEDADES METAXENICAS Y ZOONOSIS","0017 ENFERMEDADES METAXENICAS Y ZOONOSIS",50,"VIGILANCIA COMUNITARIA PARA LA PREVENCION DE ENFERMEDADES METAXENICAS Y ZOONOTICAS","50 VIGILANCIA COMUNITARIA PARA LA PREVENCION DE ENFERMEDADES METAXENICAS Y ZOONOTICAS",1424,"DOCENTES, DIRECTIVOS, CAPACITADOS Y COMPROMETIDOS A DESARROLLAR ACCIONES PARA LA PROMOCION DE PRACTICAS SALUDABLES PARA LA PREVENCIÓN DE LAS ENFERMEDADES METAXENICAS Y ZOONOTICAS ","4397705 DOCENTES, DIRECTIVOS, CAPACITADOS Y COMPROMETIDOS A DESARROLLAR ACCIONES PARA LA PROMOCION DE PRACTICAS SALUDABLES PARA LA PREVENCIÓN DE LAS ENFERMEDADES METAXENICAS Y ZOONOTICAS ","3043977","5005989","2.3. 2  8. 1  1","CONTRATO ADMINISTRATIVO DE SERVICIOS","2.3. 2  8. 1  1 CONTRATO ADMINISTRATIVO DE SERVICIOS","I","S",1,"080100080065","CONTRATACION DE PROFESIONAL MEDICO CIRUJANO","080100080065 CONTRATACION DE PROFESIONAL MEDICO CIRUJANO"
7,131,"CONTROL Y PREVENCION EN SALUD MENTAL","0131 CONTROL Y PREVENCION EN SALUD MENTAL",124,"TRATAMIENTO AMBULATORIO DE PERSONAS CON SINDROME O TRASTORNO PSICOTICO","124 TRATAMIENTO AMBULATORIO DE PERSONAS CON SINDROME O TRASTORNO PSICOTICO",804,"TRATAMIENTO AMBULATORIO A PERSONAS CON SÍNDROME PSICÓTICO O TRASTORNO DEL ESPECTRO DE LA ESQUIZOFRENIA ","5005195 TRATAMIENTO AMBULATORIO A PERSONAS CON SÍNDROME PSICÓTICO O TRASTORNO DEL ESPECTRO DE LA ESQUIZOFRENIA ","3000702","5005195","2.3. 2  3. 1  2","SERVICIOS DE SEGURIDAD Y VIGILANCIA","2.3. 2  3. 1  2 SERVICIOS DE SEGURIDAD Y VIGILANCIA","I","S",2,"840500010012","SERVICIO DE SEGURIDAD Y VIGILANCIA","840500010012 SERVICIO DE SEGURIDAD Y VIGILANCIA"
8,18,"ENFERMEDADES NO TRANSMISIBLES","0018 ENFERMEDADES NO TRANSMISIBLES",62,"EVALUACION CLINICA Y TAMIZAJE LABORATORIAL DE PERSONAS CON RIESGO DE PADECER ENFERMEDADES CRONICAS NO TRANSMISIBLES","62 EVALUACION CLINICA Y TAMIZAJE LABORATORIAL DE PERSONAS CON RIESGO DE PADECER ENFERMEDADES CRONICAS NO TRANSMISIBLES",373,"PERSONAS DE 12 Y 17 AÑOS CON VALORACIÓN CLÍNICA DE FACTORES DE RIESGO.","5001501 PERSONAS DE 12 Y 17 AÑOS CON VALORACIÓN CLÍNICA DE FACTORES DE RIESGO.","3000015","5000113","2.3. 2  8. 1  4","AGUINALDOS DE C.A.S.","2.3. 2  8. 1  4 AGUINALDOS DE C.A.S.","I","S",1,"080600010001","AGUINALDOS DE C.A.S.","080600010001 AGUINALDOS DE C.A.S."
9,16,"TBC-VIH/SIDA","0016 TBC-VIH/SIDA",30,"DESARROLLO DE NORMAS Y GUIAS TECNICAS VIH SIDA, TUBERCULOSIS","30 DESARROLLO DE NORMAS Y GUIAS TECNICAS VIH SIDA, TUBERCULOSIS",1425," IMPLEMENTACIÓN DE DOCUMENTOS TÉCNICOS NORMATIVOS TB/VIH-SIDA","4395102  IMPLEMENTACIÓN DE DOCUMENTOS TÉCNICOS NORMATIVOS TB/VIH-SIDA","3000001","5004434","2.3. 2  9. 1  1","LOCACION DE SERVICIOS REALIZADOS POR PERSONAS NATURALES RELACIONADAS AL ROL DE LA ENTIDAD","2.3. 2  9. 1  1 LOCACION DE SERVICIOS REALIZADOS POR PERSONAS NATURALES RELACIONADAS AL ROL DE LA ENTIDAD","I","S",2,"070500030832","SERVICIO ESPECIALIZADO EN ENFERMERÍA EN SALUD PÚBLICA","070500030832 SERVICIO ESPECIALIZADO EN ENFERMERÍA EN SALUD PÚBLICA"
10,2,"SALUD MATERNO NEONATAL","0002 SALUD MATERNO NEONATAL",26,"ATENCION DEL RECIEN NACIDO CON COMPLICACIONES","26 ATENCION DEL RECIEN NACIDO CON COMPLICACIONES",148,"ASFIXIA DEL NACIMIENTO","3330602 ASFIXIA DEL NACIMIENTO","3033306","5000054","2.3. 2  8. 1  1","CONTRATO ADMINISTRATIVO DE SERVICIOS","2.3. 2  8. 1  1 CONTRATO ADMINISTRATIVO DE SERVICIOS","I","S",1,"080100080001","CONTRATACION DE PROFESIONAL EN ENFERMERIA ","080100080001 CONTRATACION DE PROFESIONAL EN ENFERMERIA "
